Survived,Pclass,Sex,Age
Dead,third,male,22
Alive,first,female,38
Alive,third,female,26
Alive,first,female,35
Dead,third,male,35
Dead,third,male,
Dead,first,male,54
Dead,third,male,2
Alive,third,female,27
Alive,second,female,14
Alive,third,female,4
Alive,first,female,58
Dead,third,male,20
Dead,third,male,39
Dead,third,female,14
Alive,second,female,55
Dead,third,male,2
Alive,second,male,
Dead,third,female,31
Alive,third,female,
Dead,second,male,35
Alive,second,male,34
Alive,third,female,15
Alive,first,male,28
Dead,third,female,8
Alive,third,female,38
Dead,third,male,
Dead,first,male,19
Alive,third,female,
Dead,third,male,
Dead,first,male,40
Alive,first,female,
Alive,third,female,
Dead,second,male,66
Dead,first,male,28
Dead,first,male,42
Alive,third,male,
Dead,third,male,21
Dead,third,female,18
Alive,third,female,14
Dead,third,female,40
Dead,second,female,27
Dead,third,male,
Alive,second,female,3
Alive,third,female,19
Dead,third,male,
Dead,third,male,
Alive,third,female,
Dead,third,male,
Dead,third,female,18
Dead,third,male,7
Dead,third,male,21
Alive,first,female,49
Alive,second,female,29
Dead,first,male,65
Alive,first,male,
Alive,second,female,21
Dead,third,male,28.5
Alive,second,female,5
Dead,third,male,11
Dead,third,male,22
Alive,first,female,38
Dead,first,male,45
Dead,third,male,4
Dead,first,male,
Alive,third,male,
Alive,second,female,29
Dead,third,male,19
Alive,third,female,17
Dead,third,male,26
Dead,second,male,32
Dead,third,female,16
Dead,second,male,21
Dead,third,male,26
Alive,third,male,32
Dead,third,male,25
Dead,third,male,
Dead,third,male,
Alive,second,male,0.83
Alive,third,female,30
Dead,third,male,22
Alive,third,male,29
Alive,third,female,
Dead,first,male,28
Alive,second,female,17
Alive,third,female,33
Dead,third,male,16
Dead,third,male,
Alive,first,female,23
Dead,third,male,24
Dead,third,male,29
Dead,third,male,20
Dead,first,male,46
Dead,third,male,26
Dead,third,male,59
Dead,third,male,
Dead,first,male,71
Alive,first,male,23
Alive,second,female,34
Dead,second,male,34
Dead,third,female,28
Dead,third,male,
Dead,first,male,21
Dead,third,male,33
Dead,third,male,37
Dead,third,male,28
Alive,third,female,21
Alive,third,male,
Dead,third,male,38
Alive,third,female,
Dead,first,male,47
Dead,third,female,14.5
Dead,third,male,22
Dead,third,female,20
Dead,third,female,17
Dead,third,male,21
Dead,third,male,70.5
Dead,second,male,29
Dead,first,male,24
Dead,third,female,2
Dead,second,male,21
Dead,third,male,
Dead,second,male,32.5
Alive,second,female,32.5
Dead,first,male,54
Alive,third,male,12
Dead,third,male,
Alive,third,male,24
Alive,third,female,
Dead,third,male,45
Dead,third,male,33
Dead,third,male,20
Dead,third,female,47
Alive,second,female,29
Dead,second,male,25
Dead,second,male,23
Alive,first,female,19
0,first,male,37
0,third,male,16
0,first,male,24
0,third,female,
Alive,third,female,22
Alive,third,female,24
Dead,third,male,19
Dead,second,male,18
Dead,second,male,19
Alive,third,male,27
Dead,third,female,9
Dead,second,male,36.5
Dead,second,male,42
Dead,second,male,51
Alive,first,female,22
Dead,third,male,55.5
Dead,third,male,40.5
Dead,third,male,
Dead,first,male,51
Alive,third,female,16
Dead,third,male,30
Dead,third,male,
Dead,third,male,
Dead,third,male,44
Alive,second,female,40
Dead,third,male,26
Dead,third,male,17
Dead,third,male,1
Alive,third,male,9
Alive,first,female,
Dead,third,female,45
Dead,first,male,
Dead,third,male,28
Dead,first,male,61
Dead,third,male,4
Alive,third,female,1
Dead,third,male,21
Dead,first,male,56
Dead,third,male,18
Dead,third,male,
Dead,first,female,50
Dead,second,male,30
Dead,third,male,36
Dead,third,female,
Dead,second,male,
Dead,third,male,9
Alive,second,male,1
Alive,third,female,4
Dead,first,male,
Alive,third,female,
Alive,first,male,45
Dead,third,male,40
Dead,third,male,36
Alive,second,female,32
Dead,second,male,19
Alive,third,female,19
Alive,second,male,3
Alive,first,female,44
Alive,first,female,58
Dead,third,male,
Dead,third,male,42
Alive,third,female,
Dead,second,female,24
Dead,third,male,28
Dead,third,male,
Dead,third,male,34
Dead,third,male,45.5
Alive,third,male,18
Dead,third,female,2
Dead,third,male,32
Alive,third,male,26
Alive,third,female,16
Alive,first,male,40
Dead,third,male,24
Alive,second,female,35
Dead,third,male,22
Dead,second,male,30
Dead,third,male,
Alive,first,female,31
Alive,third,female,27
Dead,second,male,42
Alive,first,female,32
Dead,second,male,30
Alive,third,male,16
Dead,second,male,27
Dead,third,male,51
Dead,third,male,
Alive,first,male,38
Dead,third,male,22
Alive,second,male,19
Dead,third,male,20.5
Dead,second,male,18
Dead,third,female,
Alive,first,female,35
Dead,third,male,29
Dead,second,male,59
Alive,third,female,5
Dead,second,male,24
Dead,third,female,
Dead,second,male,44
Alive,second,female,8
Dead,second,male,19
Dead,second,male,33
Dead,third,female,
Alive,third,female,
0,second,male,29
0,third,male,22
0,third,male,30
0,first,male,44
0,third,female,25
Alive,second,female,24
Alive,first,male,37
0,second,male,54
0,third,male,
0,third,female,29
0,first,male,62
0,third,male,30
0,third,female,41
Alive,third,female,29
Alive,first,female,
Alive,first,female,30
Alive,first,female,35
Alive,second,female,50
0,third,male,
Alive,third,male,3
0,first,male,52
0,first,male,40
0,third,female,
0,second,male,36
0,third,male,16
Alive,third,male,25
Alive,first,female,58
Alive,first,female,35
0,first,male,
Alive,third,male,25
Alive,second,female,41
0,first,male,37
Alive,third,female,
Alive,first,female,63
0,third,female,45
0,second,male,
0,third,male,7
Alive,third,female,35
0,third,male,65
0,third,male,28
0,third,male,16
Alive,third,male,19
0,first,male,
0,third,male,33
Alive,third,male,30
0,third,male,22
Alive,second,male,42
Alive,third,female,22
Alive,first,female,26
Alive,first,female,19
0,second,male,36
0,third,female,24
0,third,male,24
0,first,male,
0,third,male,23.5
0,first,female,2
Alive,first,male,
Alive,first,female,50
Alive,third,female,
Alive,third,male,
0,third,male,19
Alive,second,female,
0,third,male,
Alive,first,male,0.92
Alive,first,female,
Alive,first,female,17
0,second,male,30
Alive,first,female,30
Alive,first,female,24
Alive,first,female,18
0,second,female,26
0,third,male,28
0,second,male,43
Alive,third,female,26
Alive,second,female,24
0,second,male,54
Alive,first,female,31
Alive,first,female,40
0,third,male,22
0,third,male,27
Alive,second,female,30
Alive,second,female,22
0,third,male,
Alive,first,female,36
0,third,male,61
Alive,second,female,36
Alive,third,female,31
Alive,first,female,16
Alive,third,female,
0,first,male,45.5
0,first,male,38
0,third,male,16
Alive,first,female,
0,third,male,
0,first,male,29
Alive,first,female,41
Alive,third,male,45
0,first,male,45
Alive,second,male,2
Alive,first,female,24
0,second,male,28
0,second,male,25
0,second,male,36
Alive,second,female,24
Alive,second,female,40
Alive,third,female,
Alive,third,male,3
0,third,male,42
0,third,male,23
0,first,male,
0,third,male,15
0,third,male,25
0,third,male,
0,third,male,28
Alive,first,female,22
0,second,female,38
Alive,third,female,
Alive,third,female,
0,third,male,40
0,second,male,29
0,third,female,45
0,third,male,35
0,third,male,
0,third,male,30
Alive,first,female,60
Alive,third,female,
Alive,third,female,
Alive,first,female,24
Alive,first,male,25
0,third,male,18
0,third,male,19
0,first,male,22
0,third,female,3
Alive,first,female,
Alive,third,female,22
0,first,male,27
0,third,male,20
0,third,male,19
Alive,first,female,42
Alive,third,female,1
0,third,male,32
Alive,first,female,35
0,third,male,
0,second,male,18
0,third,male,1
Alive,second,female,36
0,third,male,
Alive,second,female,17
Alive,first,male,36
Alive,third,male,21
0,third,male,28
Alive,first,female,23
Alive,third,female,24
0,third,male,22
0,third,female,31
0,second,male,46
0,second,male,23
Alive,second,female,28
Alive,third,male,39
0,third,male,26
0,third,female,21
0,third,male,28
0,third,female,20
0,second,male,34
0,third,male,51
Alive,second,male,3
0,third,male,21
0,third,female,
0,third,male,
0,third,male,
Alive,first,female,33
0,second,male,
Alive,third,male,44
0,third,female,
Alive,second,female,34
Alive,second,female,18
0,second,male,30
0,third,female,10
0,third,male,
0,third,male,21
0,third,male,29
0,third,female,28
0,third,male,18
0,third,male,
Alive,second,female,28
Alive,second,female,19
0,third,male,
Alive,third,male,32
Alive,first,male,28
Alive,third,female,
Alive,second,female,42
0,third,male,17
0,first,male,50
Alive,first,female,14
0,third,female,21
Alive,second,female,24
0,first,male,64
0,second,male,31
Alive,second,female,45
0,third,male,20
0,third,male,25
Alive,second,female,28
Alive,third,male,
Alive,first,male,4
Alive,second,female,13
Alive,first,male,34
Alive,third,female,5
Alive,first,male,52
0,second,male,36
0,third,male,
0,first,male,30
Alive,first,male,49
0,third,male,
Alive,third,male,29
0,first,male,65
Alive,first,female,
Alive,second,female,50
0,third,male,
Alive,first,male,48
0,third,male,34
0,first,male,47
0,second,male,48
0,third,male,
0,third,male,38
0,second,male,
0,first,male,56
0,third,male,
Alive,third,female,0.75
0,third,male,
0,third,male,38
Alive,second,female,33
Alive,second,female,23
0,third,female,22
0,first,male,
0,second,male,34
0,third,male,29
0,third,male,22
Alive,third,female,2
0,third,male,9
0,second,male,
0,third,male,50
Alive,third,female,63
Alive,first,male,25
0,third,female,
Alive,first,female,35
0,first,male,58
0,third,male,30
Alive,third,male,9
0,third,male,
0,third,male,21
0,first,male,55
0,first,male,71
0,third,male,21
0,third,male,
Alive,first,female,54
0,third,male,
0,first,female,25
0,third,male,24
0,third,male,17
0,third,female,21
0,third,female,
0,third,female,37
Alive,first,female,16
0,first,male,18
Alive,second,female,33
Alive,first,male,
0,third,male,28
Alive,third,male,26
Alive,third,male,29
0,third,male,
Alive,first,male,36
Alive,first,female,54
0,third,male,24
0,first,male,47
Alive,second,female,34
0,third,male,
Alive,second,female,36
0,third,male,32
Alive,first,female,30
0,third,male,22
0,third,male,
Alive,first,female,44
0,third,male,
0,third,male,40.5
Alive,second,female,50
0,first,male,
0,third,male,39
0,second,male,23
Alive,second,female,2
0,third,male,
0,third,male,17
Alive,third,female,
0,third,female,30
Alive,second,female,7
0,first,male,45
Alive,first,female,30
0,third,male,
Alive,first,female,22
Alive,first,female,36
0,third,female,9
0,third,female,11
Alive,second,male,32
0,first,male,50
0,first,male,64
Alive,second,female,19
Alive,second,male,
0,third,male,33
Alive,second,male,8
Alive,first,male,17
0,second,male,27
0,third,male,
Alive,third,male,22
Alive,third,female,22
0,first,male,62
Alive,first,female,48
0,first,male,
Alive,first,female,39
Alive,third,female,36
0,third,male,
0,third,male,40
0,second,male,28
0,third,male,
0,third,female,
0,third,male,24
0,third,male,19
0,third,female,29
0,third,male,
Alive,third,male,32
Alive,second,male,62
Alive,first,female,53
Alive,first,male,36
Alive,third,female,
0,third,male,16
0,third,male,19
Alive,second,female,34
Alive,first,female,39
0,third,female,
Alive,third,male,32
Alive,second,female,25
Alive,first,female,39
0,second,male,54
0,first,male,36
0,third,male,
Alive,first,female,18
0,second,male,47
Alive,first,male,60
0,third,male,22
0,third,male,
0,third,male,35
Alive,first,female,52
0,third,male,47
0,third,female,
0,second,male,37
0,third,male,36
Alive,second,female,
0,third,male,49
0,third,male,
Alive,first,male,49
Alive,second,female,24
0,third,male,
0,first,male,
0,third,male,44
Alive,first,male,35
0,third,male,36
0,third,male,30
Alive,first,male,27
Alive,second,female,22
Alive,first,female,40
0,third,female,39
0,third,male,
Alive,third,female,
0,third,male,
0,third,male,35
Alive,second,female,24
0,third,male,34
0,third,female,26
Alive,second,female,4
0,second,male,26
0,third,male,27
Alive,first,male,42
Alive,third,male,20
0,third,male,21
0,third,male,21
0,first,male,61
0,second,male,57
Alive,first,female,21
0,third,male,26
0,third,male,
Alive,first,male,80
0,third,male,51
Alive,first,male,32
0,first,male,
0,third,female,9
Alive,second,female,28
0,third,male,32
0,second,male,31
0,third,female,41
0,third,male,
0,third,male,20
Alive,first,female,24
0,third,female,2
Alive,third,male,
Alive,third,female,0.75
Alive,first,male,48
0,third,male,19
Alive,first,male,56
0,third,male,
Alive,third,female,23
0,third,male,
Alive,second,female,18
0,third,male,21
Alive,third,female,
0,third,female,18
0,second,male,24
0,third,male,
0,third,female,32
0,second,male,23
0,first,male,58
Alive,first,male,50
0,third,male,40
0,first,male,47
0,third,male,36
Alive,third,male,20
0,second,male,32
0,second,male,25
0,third,male,
0,third,male,43
Alive,first,female,
Alive,second,female,40
0,first,male,31
0,second,male,70
Alive,second,male,31
0,second,male,
0,third,male,18
0,third,male,24.5
Alive,third,female,18
0,third,female,43
Alive,first,male,36
0,third,female,
Alive,first,male,27
0,third,male,20
0,third,male,14
0,second,male,60
0,second,male,25
0,third,male,14
0,third,male,19
0,third,male,18
Alive,first,female,15
Alive,first,male,31
Alive,third,female,4
Alive,third,male,
0,third,male,25
0,first,male,60
0,second,male,52
0,third,male,44
Alive,third,female,
0,first,male,49
0,third,male,42
Alive,first,female,18
Alive,first,male,35
0,third,female,18
0,third,male,25
0,third,male,26
0,second,male,39
Alive,second,female,45
Alive,first,male,42
Alive,first,female,22
Alive,third,male,
Alive,first,female,24
0,first,male,
Alive,first,male,48
0,third,male,29
0,second,male,52
0,third,male,19
Alive,first,female,38
Alive,second,female,27
0,third,male,
0,third,male,33
Alive,second,female,6
0,third,male,17
0,second,male,34
0,second,male,50
Alive,first,male,27
0,third,male,20
Alive,second,female,30
Alive,third,female,
0,second,male,25
0,third,female,25
Alive,first,female,29
0,third,male,11
0,second,male,
0,second,male,23
0,second,male,23
0,third,male,28.5
0,third,female,48
Alive,first,male,35
0,third,male,
0,third,male,
Alive,first,male,
0,first,male,36
Alive,first,female,21
0,third,male,24
Alive,third,male,31
0,first,male,70
0,third,male,16
Alive,second,female,30
0,first,male,19
0,third,male,31
Alive,second,female,4
Alive,third,male,6
0,third,male,33
0,third,male,23
Alive,second,female,48
Alive,second,male,0.67
0,third,male,28
0,second,male,18
0,third,male,34
Alive,first,female,33
0,third,male,
0,third,male,41
Alive,third,male,20
Alive,first,female,36
0,third,male,16
Alive,first,female,51
0,first,male,
0,third,female,30.5
0,third,male,
0,third,male,32
0,third,male,24
0,third,male,48
0,second,female,57
0,third,male,
Alive,second,female,54
0,third,male,18
0,third,male,
Alive,third,female,5
0,third,male,
Alive,first,female,43
Alive,third,female,13
Alive,first,female,17
0,first,male,29
